2
 Upsilons from Pradhan (MNRAS,1976,177,31)
 Aij's from Zeippen (MNRAS,1982,198,111).
 5 11 0
2p3  4S(3/2)
2p3  2D(5/2)
2p3  2D(3/2)
2p3  2P(3/2)
2p3  2P(1/2)
5000
6000
7000
8000
9000
10000
12000
14000
16000
18000
20000
0
    1    2 0.7950    5000.
0   0       0.7956    6000.
0   0       0.7968    7000.
0   0       0.7986    8000.
0   0       0.7998    9000.
0   0       0.8010   10000.
0   0       0.8040   12000.
0   0       0.8076   14000.
0   0       0.8106   16000.
0   0       0.8142   18000.
0   0       0.8178   20000.
    1    3 0.53000   5000.
0  0       0.5304    6000.
0  0       0.5312    7000.
0  0       0.5324    8000.
0  0        .5332    9000.
0  0        .5340   10000.
0  0        .5360   12000.
0  0        .5384   14000.
0  0        .5404   16000.
0  0        .5428   18000.
0  0        .5452   20000.
    1    4 0.26510   5000.
0  0        .2657    6000.
0  0        .2671    7000.
0  0        .2684    8000.
0  0        .2684    9000.
0  0        .2704   10000.
0  0        .2724   12000.
0  0        .2744   14000.
0  0        .2764   16000.
0  0        .2784   18000.
0  0        .2804   20000.
    1    5 0.1325    5000.
0  0        .1329    6000.
0  0        .1335    7000.
0  0        .1342    8000.
0  0        .1345    9000.
0  0        .1352   10000.
0  0        .13620  12000.
0  0        .1372   14000.
0  0        .1382   16000.
0  0        .1392   18000.
0  0        .1402   20000.
    2    3 1.22      5000.
0  0       1.208     6000.
0  0       1.197     7000.
0  0       1.186     8000.
0  0       1.177     9000.
0  0       1.168    10000.
0  0       1.152    12000.
0  0       1.139    14000.
0  0       1.128    16000.
0  0       1.119    18000.
0  0       1.112    20000.
    4    5  .28      5000.
0  0        .282     6000.
0  0        .283     7000.
0  0        .284     8000.
0  0        .286     9000.
0  0        .287    10000.
0  0        .290    12000.
0  0        .292    14000.
0  0        .295    16000.
0  0        .297    18000.
0  0        .3      20000.
    2    4  .7178    5000.
0   0        .7203    6000.
0   0        .7229    7000.
0   0        .7250    8000.
0   0        .7276    9000.
0   0        .7302   10000.
0   0        .7353   12000.
0   0        .7404   14000.
0   0        .7451   16000.
0   0        .7503   18000.
0   0        .7554   20000.
    3    4  .4008    5000.
0  0        .4022    6000.
0  0        .4037    7000.
0  0        .4049    8000.
0  0        .4063    9000.
0  0        .4077   10000.
0  0        .4106   12000.
0  0        .4135   14000.
0  0        .4161   16000.
0  0        .4190   18000.
0  0        .4218   20000.
    2    5  .2901    5000.
0  0        .2912    6000.
0  0        .2922    7000.
0  0        .2931    8000.
0  0        .2941    9000.
0  0        .2951   10000.
0  0        .2972   12000.
0  0        .2993   14000.
0  0        .3012   16000.
0  0        .3033   18000.
0  0        .3053   20000.
    3    5  .2700    5000.
0  0        .2710    6000.
0  0        .2719    7000.
0  0        .2727    8000.
0  0        .2737    9000.
0  0        .2747   10000.
0  0        .2766   12000.
0  0        .2785   14000.
0  0        .2803   16000.
0  0        .2822   18000.
0  0        .2842   20000.
0 0 0
    1    2 3.82000E-05
    1    3 1.65000E-04
    1    4 5.64000E-02
    1    5 2.32000E-02
    2    3 1.20000E-07
    2    4 1.17000E-01
    2    5 6.15000E-02
    3    4 6.14000E-02
    3    5 1.02000E-01
    4    5 2.08000E-11
    1    4       0.0
    2    6   26810.7
    3    4   26830.2
    4    4   40467.5
    5    2   40468.6
