2
%collision strengths: TZ10
%transition probabilities: TZ10-PKW09
8 11
 1  3s2.3p3 4S3/2
 2  3s2.3p3 2D3/2
 3  3s2.3p3 2D5/2
 4  3s2.3p3 2P1/2
 5  3s2.3p3 2P3/2
 6  3s2.3p4 4P5/2
 7  3s2.3p4 4P3/2
 8  3s2.3p4 4P1/2
5000.35
6998.42
10000
14996.8
19998.6
25003.5
29991.6
39994.5
50003.5
69984.2
100000
0
1 2 2.660e+00
0 0 2.620e+00
0 0 2.560e+00
0 0 2.480e+00
0 0 2.410e+00
0 0 2.350e+00
0 0 2.300e+00
0 0 2.200e+00
0 0 2.100e+00
0 0 1.930e+00
0 0 1.710e+00
1 3 3.980e+00
0 0 3.910e+00
0 0 3.830e+00
0 0 3.710e+00
0 0 3.610e+00
0 0 3.520e+00
0 0 3.440e+00
0 0 3.300e+00
0 0 3.160e+00
0 0 2.900e+00
0 0 2.580e+00
1 4 6.860e-01
0 0 6.940e-01
0 0 7.040e-01
0 0 7.170e-01
0 0 7.270e-01
0 0 7.330e-01
0 0 7.360e-01
0 0 7.300e-01
0 0 7.150e-01
0 0 6.700e-01
0 0 5.970e-01
1 5 1.380e+00
0 0 1.390e+00
0 0 1.420e+00
0 0 1.440e+00
0 0 1.460e+00
0 0 1.470e+00
0 0 1.480e+00
0 0 1.470e+00
0 0 1.430e+00
0 0 1.340e+00
0 0 1.190e+00
1 6 2.250e+00
0 0 2.360e+00
0 0 2.540e+00
0 0 2.750e+00
0 0 2.840e+00
0 0 2.850e+00
0 0 2.820e+00
0 0 2.720e+00
0 0 2.600e+00
0 0 2.400e+00
0 0 2.160e+00
1 7 2.010e+00
0 0 2.090e+00
0 0 2.190e+00
0 0 2.300e+00
0 0 2.310e+00
0 0 2.290e+00
0 0 2.250e+00
0 0 2.150e+00
0 0 2.040e+00
0 0 1.860e+00
0 0 1.670e+00
1 8 9.170e-01
0 0 9.570e-01
0 0 1.020e+00
0 0 1.090e+00
0 0 1.110e+00
0 0 1.110e+00
0 0 1.100e+00
0 0 1.070e+00
0 0 1.020e+00
0 0 9.400e-01
0 0 8.430e-01
2 3 7.320e+00
0 0 7.130e+00
0 0 6.890e+00
0 0 6.580e+00
0 0 6.350e+00
0 0 6.170e+00
0 0 6.020e+00
0 0 5.760e+00
0 0 5.510e+00
0 0 5.060e+00
0 0 4.480e+00
2 4 1.480e+00
0 0 1.480e+00
0 0 1.470e+00
0 0 1.480e+00
0 0 1.480e+00
0 0 1.490e+00
0 0 1.500e+00
0 0 1.500e+00
0 0 1.500e+00
0 0 1.490e+00
0 0 1.450e+00
2 5 2.400e+00
0 0 2.400e+00
0 0 2.390e+00
0 0 2.390e+00
0 0 2.380e+00
