#Galactic WR nebula
#from Stock et al., MNRAS, 418, 2532
#Wavelengths are only to 1 decimal place so the -id option needs to be specified for NEAT analysis
3726.0 87.62 0.43
3728.8 107.42 0.52
3868.7 36.24 0.22
3967.5 11.16 0.19
4101.7 15.11 0.22
4340.5 32.91 0.25
4363.2 2.45 0.08
4471.5 3.37 0.13
4861.3 100.00 0.24
4958.9 218.60 0.81
5006.8 680.69 2.26
5517.7 1.85 0.14
5537.6 1.40 0.08
5577.3 0.25 0.22
5875.7 21.93 0.14
6300.3 17.17 0.39
6312.1 5.92 0.07
6363.8 5.78 0.14
6548.1 91.97 0.40
6562.8 675.20 1.33
6583.5 287.83 1.16
6678.2 8.79 0.11
6716.4 118.35 0.88
6730.8 96.39 0.65
7135.8 61.93 0.37
7318.9 3.06 0.07
7320.0 11.40 0.08
7329.7 6.07 0.07
7330.7 6.15 0.07
8727.1 1.00 0.07
9068.6 480.20 5.56
9530.6 1416.72 14.39
9824.1 3.44 0.20
9850.2 8.94 0.13
